N,Fecha,Película,Director,Actor,Actriz,Actor de reparto,Actriz de reparto,Presentador,Audiencia
66.ª,21 de marzo de 1994,*Schindler's List*,S. Spielberg,T. Hanks,H. Hunter,T. L. Jones,A. Paquin,Whoopi Goldberg,46 260 000
67.ª,27 de marzo de 1995,*Forrest Gump*,R. Zemeckis,T. Hanks,J. Lange,M. Landau,D. Wiest,David Letterman,48 870 000
68.ª,25 de marzo de 1996,*Braveheart*,M. Gibson,N. Cage,S. Sarandon,K. Spacey,M. Sorvino,Whoopi Goldberg,44 610 000
69.ª,24 de marzo de 1997,*The English Patient*,A. Minghella,G. Rush,F. McDormand,C. Gooding Jr.,J. Binoche,Billy Crystal,40 830 000
70.ª,23 de marzo de 1998,*Titanic*,J. Cameron,J. Nicholson,H. Hunt,R. Williams,K. Basinger,,57 250 000
71.ª,21 de marzo de 1999,*Shakespeare in Love*,S. Spielberg,R. Benigni,G. Paltrow,J. Coburn,J. Dench,Whoopi Goldberg,46 530 000
72.ª,26 de marzo de 2000,*American Beauty*,S. Mendes,K. Spacey,H. Swank,M. Caine,A. Jolie,Billy Crystal,46 530 000
73.ª,25 de marzo de 2001,*Gladiator*,S. Soderbergh,R. Crowe,J. Roberts,B. del Toro,M. G. Harden,Steve Martin,42 930 000
74.ª,24 de marzo de 2002,*A Beautiful Mind*,R. Howard,D. Washington,H. Berry,J. Broadbent,J. Connelly,Whoopi Goldberg,40 540 000
75.ª,23 de marzo de 2003,*Chicago*,R. Polanski,A. Brody,N. Kidman,C. Cooper,C. Zeta-Jones,Steve Martin,33 040 000
76.ª,29 de febrero de 2004,*The Lord of the Rings: The Return of the King*,P. Jackson,S. Penn,C. Theron,T. Robbins,R. Zellweger,Billy Crystal,43 560 000
77.ª,27 de febrero de 2005,*Million Dollar Baby*,C. Eastwood,J. Foxx,H. Swank,M. Freeman,C. Blanchett,Chris Rock,42 160 000
78.ª,5 de marzo de 2006,*Crash*,A. Lee,P. S. Hoffma,R. Witherspoon,G. Clooney,R. Weisz,Jon Stewart,38 640 000
79.ª,25 de febrero de 2007,*departed !The Departed*,M. Scorsese,F. Whitaker,H. Mirren,A. Arkin,J. Hudson,Ellen DeGeneres,39 920 000
80.ª,24 de febrero de 2008,*No Country for Old Men*,Hermanos Coen,D. Day-Lewis,M. Cotillard,J. Bardem,T. Swinton,Jon Stewart,31 760 000
81.ª,22 de febrero de 2009,*Slumdog Millionaire*,D. Boyle,S. Penn,K. Winslet,H. Ledger,P. Cruz,Hugh Jackman,36 940 000
82.ª,7 de marzo de 2010,*hurt locker !The Hurt Locker*,K. Bigelow,J. Bridges,S. Bullock,C. Waltz,Mo'nique,"Steve Martin
Alec Baldwin",41 620 000
83.ª,27 de febrero de 2011,*The King's Speech*,T. Hooper,C. Firth,N. Portman,C. Bale,M. Leo,"James Franco
Anne Hathaway",37 600 000
84.ª,26 de febrero de 2012,*The Artist*,M. Hazanavicius,J. Dujardin,M. Streep,C. Plummer,O. Spencer,Billy Crystal,39 460 000
85.ª,24 de febrero de 2013,*Argo*,A. Lee,D. Day-Lewis,J. Lawrence,C. Waltz,A. Hathaway,Seth MacFarlane,40 376 000
86.ª,2 de marzo de 2014,*12 Years a Slave*,A. Cuarón,M. McConaughey,C. Blanchett,J. Leto,L. Nyong'o,Ellen DeGeneres[21]​,
87.ª,22 de febrero de 2015,*Birdman or (The Unexpected Virtue of Ignorance)*,A. G. Iñárritu,E. Redmayne,J.Moore,J. K. Simmons,P. Arquette,Neil Patrick Harris[22]​,
88.ª,28 de febrero de 2016,*Spotlight*,A. G. Iñárritu,L. DiCaprio,B. Larson,M. Rylance,A. Vikander,Chris Rock [23]​,
89.ª,26 de febrero de 2017,*Moonlight*,D. Chazelle,C. Affleck,E. Stone,M. Ali,V. Davis,Jimmy Kimmel [24]​[25]​,32 900 000
90.ª,4 de marzo de 2018,*The Shape of Water*,G. del Toro,G. Oldman,F. McDormand,S. Rockwell,A. Janney,,40 376 000
91.ª,24 de febrero de 2019,*Green Book*,A. Cuarón,R. Malek,O. Colman,M. Ali,R. King,No hubo [26]​,
